pizza_id,pizza_type_id,pizza_size,unit_price
1,bbq_ckn_s,S,9.75
2,mexicana_l,L,9.75
3,napolitana_s,S,9.75
4,four_cheese_l,L,9.75
5,ckn_alfredo_m,M,9.75
6,southw_ckn_l,L,9.75
7,peppr_salami_s,S,9.75
8,ital_supr_m,M,9.75
9,bbq_ckn_m,M,9.75
10,soppressata_l,L,9.75
11,cali_ckn_s,S,9.75
12,cali_ckn_m,M,9.75
13,big_meat_s,S,9.75
14,spin_pesto_m,M,9.75
15,classic_dlx_s,S,9.75
16,pepperoni_m,M,9.75
17,four_cheese_m,M,9.75
18,calabrese_l,L,9.75
19,spicy_ital_l,L,9.75
20,pepperoni_l,L,9.75
21,classic_dlx_m,M,9.75
22,mexicana_l,L,9.75
23,ital_cpcllo_s,S,9.75
24,five_cheese_l,L,9.75
25,ckn_pesto_m,M,9.75
26,pepperoni_m,M,9.75
27,mexicana_m,M,9.75
28,green_garden_m,M,9.75
29,peppr_salami_l,L,9.75
30,five_cheese_l,L,9.75
31,prsc_argla_m,M,9.75
32,cali_ckn_l,L,9.75
33,veggie_veg_l,L,9.75
34,pep_msh_pep_m,M,9.75
35,pepperoni_m,M,9.75
36,napolitana_s,S,9.75
37,four_cheese_m,M,9.75
38,ital_supr_l,L,9.75
39,cali_ckn_l,L,9.75
40,spinach_fet_m,M,9.75
41,spicy_ital_l,L,9.75
42,cali_ckn_s,S,9.75
43,spinach_fet_s,S,9.75
44,four_cheese_l,L,9.75
45,bbq_ckn_l,L,9.75
46,ital_supr_l,L,9.75
47,four_cheese_l,L,9.75
48,mediterraneo_m,M,9.75
49,bbq_ckn_l,L,9.75
50,veggie_veg_m,M,9.75
51,soppressata_l,L,9.75
52,four_cheese_m,M,9.75
53,spicy_ital_l,L,9.75
54,ital_veggie_m,M,9.75
55,ital_cpcllo_l,L,9.75
56,bbq_ckn_l,L,9.75
57,thai_ckn_l,L,9.75
58,spinach_fet_s,S,9.75
59,four_cheese_l,L,9.75
60,cali_ckn_s,S,9.75
61,sicilian_s,S,9.75
62,mexicana_l,L,9.75
63,mediterraneo_s,S,9.75
64,napolitana_m,M,9.75
65,hawaiian_l,L,9.75
66,bbq_ckn_l,L,9.75
67,prsc_argla_m,M,9.75
68,veggie_veg_s,S,9.75
69,prsc_argla_m,M,9.75
70,pepperoni_s,S,9.75
71,pep_msh_pep_m,M,9.75
72,bbq_ckn_m,M,9.75
73,veggie_veg_l,L,9.75
74,mediterraneo_m,M,9.75
75,spinach_fet_l,L,9.75
76,ital_supr_m,M,9.75
77,cali_ckn_s,S,9.75
78,sicilian_l,L,9.75
79,peppr_salami_s,S,9.75
80,the_greek_xl,XL,9.75
81,spin_pesto_l,L,9.75
82,mediterraneo_m,M,9.75
83,spicy_ital_l,L,9.75
84,napolitana_s,S,9.75
85,ital_cpcllo_m,M,9.75
86,ckn_pesto_m,M,9.75
87,mexicana_m,M,9.75
88,ital_cpcllo_s,S,9.75
89,big_meat_s,S,9.75
90,spinach_supr_m,M,9.75
91,the_greek_l,L,9.75
92,spinach_supr_m,M,9.75
93,ckn_alfredo_m,M,9.75
94,brie_carre_s,S,9.75
95,napolitana_s,S,9.75
96,ital_supr_m,M,9.75
97,hawaiian_s,S,9.75
98,veggie_veg_l,L,9.75
99,thai_ckn_m,M,9.75
100,peppr_salami_s,S,9.75
101,pepperoni_s,S,9.75
102,hawaiian_s,S,9.75
103,spin_pesto_l,L,9.75
104,peppr_salami_m,M,9.75
105,napolitana_l,L,9.75
106,bbq_ckn_m,M,9.75
107,spicy_ital_s,S,9.75
108,pep_msh_pep_s,S,9.75
109,pep_msh_pep_l,L,9.75
110,ckn_pesto_m,M,9.75
111,ital_cpcllo_m,M,9.75
112,classic_dlx_m,M,9.75
113,calabrese_l,L,9.75
114,spicy_ital_l,L,9.75
115,southw_ckn_l,L,9.75
116,soppressata_s,S,9.75
117,calabrese_m,M,9.75
118,veggie_veg_s,S,9.75
119,prsc_argla_s,S,9.75
120,mediterraneo_s,S,9.75
121,veggie_veg_s,S,9.75
122,southw_ckn_m,M,9.75
123,mexicana_l,L,9.75
124,five_cheese_l,L,9.75
125,big_meat_s,S,9.75
126,veggie_veg_m,M,9.75
127,thai_ckn_m,M,9.75
128,veggie_veg_s,S,9.75
129,sicilian_l,L,9.75
130,sicilian_l,L,9.75
131,mexicana_m,M,9.75
132,ital_cpcllo_m,M,9.75
133,classic_dlx_l,L,9.75
134,napolitana_l,L,9.75
135,spicy_ital_s,S,9.75
136,southw_ckn_m,M,9.75
137,southw_ckn_l,L,9.75
138,pepperoni_s,S,9.75
139,four_cheese_l,L,9.75
140,classic_dlx_s,S,9.75
141,green_garden_s,S,9.75
142,ital_veggie_l,L,9.75
143,ckn_pesto_l,L,9.75
144,big_meat_s,S,9.75
145,spinach_fet_s,S,9.75
146,sicilian_l,L,9.75
147,prsc_argla_m,M,9.75
148,peppr_salami_s,S,9.75
149,peppr_salami_m,M,9.75
150,pepperoni_m,M,9.75
151,ital_cpcllo_s,S,9.75
152,four_cheese_l,L,9.75
153,five_cheese_l,L,9.75
154,classic_dlx_m,M,9.75
155,bbq_ckn_m,M,9.75
